GRPIP,Name
26,"Park Slope, Carroll Gardens & Red Hook"
16,"Borough Park, Kensington & Ocean Parkway"
18,Astoria & Long Island City
17,"Flushing, Murray Hill & Whitestone"
8,Forest Hills & Rego Park
57,Jackson Heights & North Corona
16,Brownsville & Ocean Hill
15,"Sheepshead Bay, Gerritsen Beach & Homecrest"
16,Greenpoint & Williamsburg
29,Upper West Side & West Side
15,"Pelham Parkway, Morris Park & Laconia "
75,Astoria & Long Island City
23,"Chelsea, Clinton & Midtown Business District"
28,"Hunts Point, Longwood & Melrose"
18,"Chelsea, Clinton & Midtown Business District"
20,Flatbush & Midwood
35,East Harlem
35,Bay Ridge & Dyker Heights
63,Sunset Park & Windsor Terrace
64,East New York & Starrett City
55,"Chelsea, Clinton & Midtown Business District"
61,"Tottenville, Great Kills & Annadale"
23,Central Harlem
46,"Ridgewood, Glendale & Middle Village"
33,"Borough Park, Kensington & Ocean Parkway"
55,"Chelsea, Clinton & Midtown Business District"
86,Astoria & Long Island City
34,"Bedford Park, Fordham North & Norwood "
63,Brownsville & Ocean Hill
31,"Battery Park City, Greenwich Village & Soho"
38,Greenpoint & Williamsburg
92,Flatbush & Midwood
47,"East Flatbush, Farragut & Rugby"
30,"Belmont, Crotona Park East & East Tremont"
11,Upper East Side
99,"Concourse, Highbridge & Mount Eden "
40,Flatbush & Midwood
7,Bensonhurst & Bath Beach
28,"Hunts Point, Longwood & Melrose"
19,Bushwick
17,"Borough Park, Kensington & Ocean Parkway"
25,Canarsie & Flatlands
31,Jackson Heights & North Corona
26,Jackson Heights & North Corona
25,"Co-op City, Pelham Bay & Schuylerville "
77,Sunnyside & Woodside
20,"Flushing, Murray Hill & Whitestone"
31,"Washington Heights, Inwood & Marble Hill"
37,"Co-op City, Pelham Bay & Schuylerville "
24,"Queens Village, Cambria Heights & Rosedale"
44,East Harlem
18,Crown Heights North & Prospect Heights
28,"Sheepshead Bay, Gerritsen Beach & Homecrest"
27,Flatbush & Midwood
32,Bay Ridge & Dyker Heights
46,Brighton Beach & Coney Island
33,"Co-op City, Pelham Bay & Schuylerville "
87,Sunnyside & Woodside
25,"Ridgewood, Glendale & Middle Village"
6,"Belmont, Crotona Park East & East Tremont"
39,"Morris Heights, Fordham South & Mount Hope"
25,"Hamilton Hts, Manhattanville & West Harlem"
34,Central Harlem
56,Greenpoint & Williamsburg
33,"Bedford Park, Fordham North & Norwood "
35,"Hunts Point, Longwood & Melrose"
28,Bushwick
31,Bedford-Stuyvesant
32,"Borough Park, Kensington & Ocean Parkway"
57,Elmhurst & South Corona
22,Canarsie & Flatlands
43,"Crown Heights So., Prospect Lefferts & Wingate"
16,"East Flatbush, Farragut & Rugby"
52,Sunset Park & Windsor Terrace
27,Brooklyn Heights & Fort Greene
80,Astoria & Long Island City
12,"Park Slope, Carroll Gardens & Red Hook"
56,"East Flatbush, Farragut & Rugby"
33,"Port Richmond, Stapleton & Mariner's Harbor"
28,Upper East Side
30,Chinatown & Lower East Side
37,Greenpoint & Williamsburg
31,"Morris Heights, Fordham South & Mount Hope"
33,Chinatown & Lower East Side
73,"Hunts Point, Longwood & Melrose"
43,Bensonhurst & Bath Beach
24,"Ridgewood, Glendale & Middle Village"
16,"Queens Village, Cambria Heights & Rosedale"
23,"Ridgewood, Glendale & Middle Village"
20,Richmond Hill & Woodhaven
19,New Springville & South Beach
78,"Wakefield, Williamsbridge & Woodlawn"
52,Bushwick
40,"Flushing, Murray Hill & Whitestone"
16,"Park Slope, Carroll Gardens & Red Hook"
27,Bushwick
24,Greenpoint & Williamsburg
14,"Hunts Point, Longwood & Melrose"
24,Flatbush & Midwood
25,East Harlem
51,East New York & Starrett City
23,New Springville & South Beach
26,Central Harlem
13,East Harlem
35,Central Harlem
34,Chinatown & Lower East Side
72,Greenpoint & Williamsburg
55,Sunset Park & Windsor Terrace
21,Bensonhurst & Bath Beach
30,"Queens Village, Cambria Heights & Rosedale"
36,East Harlem
18,"Hamilton Hts, Manhattanville & West Harlem"
58,"Hamilton Hts, Manhattanville & West Harlem"
53,Jackson Heights & North Corona
17,"Port Richmond, Stapleton & Mariner's Harbor"
34,Astoria & Long Island City
17,Sunset Park & Windsor Terrace
52,Jackson Heights & North Corona
9,"Hamilton Hts, Manhattanville & West Harlem"
13,"Co-op City, Pelham Bay & Schuylerville "
83,Elmhurst & South Corona
13,"Battery Park City, Greenwich Village & Soho"
21,East New York & Starrett City
20,"Chelsea, Clinton & Midtown Business District"
29,"Concourse, Highbridge & Mount Eden "
81,"Morris Heights, Fordham South & Mount Hope"
19,"Hunts Point, Longwood & Melrose"
34,Bushwick
66,East Harlem
70,Howard Beach & Ozone Park
86,"Jamaica, Hollis & St. Albans"
59,"Hunts Point, Longwood & Melrose"
19,Bay Ridge & Dyker Heights
23,Forest Hills & Rego Park
74,"Borough Park, Kensington & Ocean Parkway"
10,"Ridgewood, Glendale & Middle Village"
12,Brighton Beach & Coney Island
26,New Springville & South Beach
10,Bay Ridge & Dyker Heights
9,Brooklyn Heights & Fort Greene
68,"Jamaica, Hollis & St. Albans"
25,"Port Richmond, Stapleton & Mariner's Harbor"
49,"Castle Hill, Clason Point & Parkchester"
47,"Briarwood, Fresh Meadows & Hillcrest"
20,"Castle Hill, Clason Point & Parkchester"
48,Greenpoint & Williamsburg
25,"Far Rockaway, Breezy Point & Broad Channel"
11,"Briarwood, Fresh Meadows & Hillcrest"
24,Chinatown & Lower East Side
33,"Concourse, Highbridge & Mount Eden "
31,Bensonhurst & Bath Beach
25,"Crown Heights So., Prospect Lefferts & Wingate"
23,Bensonhurst & Bath Beach
26,"Castle Hill, Clason Point & Parkchester"
40,Greenpoint & Williamsburg
11,Chinatown & Lower East Side
81,Bushwick
13,Forest Hills & Rego Park
20,"Chelsea, Clinton & Midtown Business District"
10,Crown Heights North & Prospect Heights
2,Chinatown & Lower East Side
33,"Far Rockaway, Breezy Point & Broad Channel"
35,East New York & Starrett City
24,"East Flatbush, Farragut & Rugby"
13,Bensonhurst & Bath Beach
77,"Port Richmond, Stapleton & Mariner's Harbor"
58,"Belmont, Crotona Park East & East Tremont"
30,"Hunts Point, Longwood & Melrose"
19,Elmhurst & South Corona
14,Astoria & Long Island City
21,East New York & Starrett City
34,"Concourse, Highbridge & Mount Eden "
30,"Jamaica, Hollis & St. Albans"
50,Bay Ridge & Dyker Heights
87,Richmond Hill & Woodhaven
63,Astoria & Long Island City
29,"Morris Heights, Fordham South & Mount Hope"
43,Bensonhurst & Bath Beach
29,Sunset Park & Windsor Terrace
20,"Battery Park City, Greenwich Village & Soho"
45,New Springville & South Beach
25,"Ridgewood, Glendale & Middle Village"
71,Bay Ridge & Dyker Heights
18,Canarsie & Flatlands
20,East New York & Starrett City
18,Chinatown & Lower East Side
20,Flatbush & Midwood
37,"Concourse, Highbridge & Mount Eden "
27,"Borough Park, Kensington & Ocean Parkway"
10,"Washington Heights, Inwood & Marble Hill"
13,"Morris Heights, Fordham South & Mount Hope"
19,East Harlem
77,"Borough Park, Kensington & Ocean Parkway"
10,Jackson Heights & North Corona
86,"Flushing, Murray Hill & Whitestone"
28,Greenpoint & Williamsburg
18,"Far Rockaway, Breezy Point & Broad Channel"
63,Canarsie & Flatlands
33,"Concourse, Highbridge & Mount Eden "
2,Upper East Side
64,Crown Heights North & Prospect Heights
91,Astoria & Long Island City
44,East New York & Starrett City
25,Sunset Park & Windsor Terrace
39,"Borough Park, Kensington & Ocean Parkway"
43,Sunnyside & Woodside
17,"Port Richmond, Stapleton & Mariner's Harbor"
20,"Flushing, Murray Hill & Whitestone"
34,"Belmont, Crotona Park East & East Tremont"
19,Upper East Side
25,"Pelham Parkway, Morris Park & Laconia "
15,Flatbush & Midwood
18,Greenpoint & Williamsburg
35,Greenpoint & Williamsburg
18,"Ridgewood, Glendale & Middle Village"
14,East Harlem
33,"Jamaica, Hollis & St. Albans"
97,"Riverdale, Fieldston & Kingsbridge"
15,"Chelsea, Clinton & Midtown Business District"
32,Astoria & Long Island City
37,Crown Heights North & Prospect Heights
27,"Park Slope, Carroll Gardens & Red Hook"
24,Brooklyn Heights & Fort Greene
18,"Hunts Point, Longwood & Melrose"
72,"Washington Heights, Inwood & Marble Hill"
46,"Wakefield, Williamsbridge & Woodlawn"
14,Upper West Side & West Side
48,"Castle Hill, Clason Point & Parkchester"
19,"Hamilton Hts, Manhattanville & West Harlem"
25,Chinatown & Lower East Side
28,Greenpoint & Williamsburg
45,"Pelham Parkway, Morris Park & Laconia "
25,Bushwick
9,Upper West Side & West Side
68,Central Harlem
19,Astoria & Long Island City
61,Bedford-Stuyvesant
21,"Concourse, Highbridge & Mount Eden "
32,Bedford-Stuyvesant
5,"Borough Park, Kensington & Ocean Parkway"
35,"Pelham Parkway, Morris Park & Laconia "
25,"Battery Park City, Greenwich Village & Soho"
19,"Morris Heights, Fordham South & Mount Hope"
28,"Far Rockaway, Breezy Point & Broad Channel"
38,Forest Hills & Rego Park
64,Astoria & Long Island City
18,"Concourse, Highbridge & Mount Eden "
28,"Chelsea, Clinton & Midtown Business District"
57,Jackson Heights & North Corona
29,Sunset Park & Windsor Terrace
14,Greenpoint & Williamsburg
25,"Queens Village, Cambria Heights & Rosedale"
35,East Harlem
11,"Crown Heights So., Prospect Lefferts & Wingate"
20,"Far Rockaway, Breezy Point & Broad Channel"
19,"Murray Hill, Gramercy & Stuyvesant Town"
7,"Hunts Point, Longwood & Melrose"
